Time,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9
2022/5/29 23:59,4226162.421,3974532.24,3037318.485,103092345.4,23955198.88,39130608.36,9920592.444,105781099.5,251963029.3,936466.7506
2022/5/30 0:00,4846338.467,3934613.067,3053954.467,104992938,23922799.2,38789679.5,9766493.333,109590506.7,250604756.8,937371.6
2022/5/30 0:01,5826854.833,3943632.133,2992220.433,106427172,23555545.3,38396440.5,9946148.333,113554151.7,249589349.1,932373
2022/5/30 0:02,6416144.817,3937158.4,2887808.017,106369770,23346434.8,38204226.5,9936150,114110675,271860999.7,928310.4
2022/5/30 0:03,6464296.183,3908224.4,2958609.933,107066394,23274654.3,37986289,9768605,113841828.3,255930010.2,932295.6
2022/5/30 0:04,7528225.6,3875306.8,2847093.933,105600552,23010339,37593600,9701615,113088558.3,256793755.1,925430.4
2022/5/30 0:05,7711923.917,3837672.667,2822672.733,101647458,22900251.8,30761395.5,7317730,115370651.7,257685495.4,926766
2022/5/30 0:06,6745524.917,3806438.667,2796275.967,104704956,22680176.6,36980383,9016435.95,114017901.7,253713507.7,884021.4
2022/5/30 0:07,5081728.4,3781721.333,2779824.4,96776798.83,22544188.9,28857995.83,7031200,112935620,258817466.2,873262.8
2022/5/30 0:08,4788567.933,3757874.933,2764724.867,94245789,22397236.5,27652933.33,6227743.55,111669600,258140607.6,859726.8
2022/5/30 0:09,5077363.083,3733657.467,2746788.1,94212057.5,22227833.9,27546033.33,6130861.4,112215098.3,255704822.5,851785.2
2022/5/30 0:10,4285053.15,3711111.333,2730967.9,93733662,22156964.8,27321629.17,6015855.633,111844215,252687470.4,852586.2
2022/5/30 0:11,3802050,3690690.4,2704574.267,93098340.5,21919501.7,27135533.33,5993284.267,111129666.7,252851202.9,847832.4
2022/5/30 0:12,3574960.317,3669922.933,2691500.433,93328642,21821008.5,26978816.67,5956396.767,112041790,252030923.5,839820.6
2022/5/30 0:13,3481180.383,3626695.2,2674569.467,92697027.5,21632168.9,26855608.33,5915551.9,111817148.3,249467641.9,828469.8
2022/5/30 0:14,3270978.783,3593099.867,2655661.367,91917424.5,21537237.6,26660970.83,5837115.833,110762645,247518724.1,822144.6
2022/5/30 0:15,3992451.983,3590112.933,2645951.167,91017201,21410410.4,26453429.17,5772874.833,109830828.3,246724336.1,814935.6
2022/5/30 0:16,4734567.717,3541509.333,2616280.067,90689395.5,21285681.9,26254495.83,5799388.433,109518885,244974680.8,813468.6
2022/5/30 0:17,4578493.267,3518901.867,2604216.733,90208750.5,21141841.9,26124850,5704214.9,109171463.3,244302079.9,807739.2
2022/5/30 0:18,4138871.567,3478746.933,2591481.3,89336027,20990487.5,25937679.17,5632369.4,108134086.7,242123643.2,799021.8
2022/5/30 0:19,3578427.183,3456771.2,2573574.3,88812982.5,20837552.1,25758462.5,5618000.3,107632735,240664449.6,792286.2
2022/5/30 0:20,4735275.767,3413966.667,2552784.633,88509806,20762668.5,25616825,5576315.533,107674128.3,236948897.6,787071.6
2022/5/30 0:21,4728578.05,3392496.933,2528424.533,88247219.5,20593501.5,25368129.17,5502759.967,107953591.7,235321639.7,783936
2022/5/30 0:22,4039982.567,3360471.733,2521701.967,86988082.5,20458505.8,25233033.33,5460424.467,105946808.3,237257659.3,775733.4
2022/5/30 0:23,4380655.767,3323647.2,2509699.733,86220387,20281257.1,25097275,5441666.7,104823716.7,233931148.8,771591.6
2022/5/30 0:24,4648967.05,3290947.333,2493483.167,85822990,20199023.4,24980812.5,5402955.633,104010923.3,232356497.1,768796.2
2022/5/30 0:25,5191878.767,3260381.867,2473578.667,85393495,20076167.3,24749691.67,5366824.8,104110276.7,231250147.2,762651
2022/5/30 0:26,4510103.967,3240006.933,2450548.667,84586623,19918330.8,24566425,5329104.967,103256486.7,229687596,757740.6
2022/5/30 0:27,4432129.217,3205792.133,2442517.933,83941500.5,19790297.7,24462445.83,5319631.5,102582970,228907134.7,749757.6
2022/5/30 0:28,4202459.217,3183313.467,2434929,83343628.5,19684764.4,24306600,5258235.567,101704435,226228724.5,728591.4
2022/5/30 0:29,4599478.917,3149402.267,2420346.467,83227512.5,19552344.8,24116508.33,5182228.4,101990315,225455788.3,738243
